keyword,frequency,column
実況,9,
ゲーム,7,
ゲーム実況,5,
井上尚弥,5,
ボクシング,5,
game,4,
格闘技,4,
歌ってみた,4,
にじさんじ,4,
Vtuber,4,
切り抜き,4,
anime,3,
nijisanji,3,
プロ野球,3,
雑談,3,
japan,3,
アニメ,3,
葛葉,2,
実況プレイ,2,
さとみ,2,
いちから株式会社,2,
タパレス,2,
るぅと,2,
naoya inoue,2,
阪神,2,
タイガース,2,
セ・リーグ,2,
甲子園,2,
虎バン,2,
ichikara,2,
マイクラ,2,
fulton inoue,2,
朝日放送,2,
ABC,2,
岡田監督,2,
莉犬,2,
爆笑,2,
竹原慎二,2,
ころん,2,
阪神タイガース,2,
ジェル,2,
取材,2,
フルトン,2,
ボクサー,2,
oricon,2,
オリコンニュース,2,
オリコン,2,
douga3,2,
douga5,2,
すとぷり,2,
