,0,channelTitle,publishedAt,channelId,title,tags,viewCount,likeCount
15,gxSbNNcxPlg,ぐちつぼ,2023-08-08T10:30:24Z,UCXUSu88rDnrMVWoMTakt_7g,【VCR GTA #3】ギャングが犯行を企てる現場に直撃取材を試みるファイナルぐちつぼ【グランド セフト オートV】,"['ぐちつぼ', '実況プレイ', 'Minecraft', 'マイクラ', '人狼', '限界', '限界メンバー', 'マイクラ実況', 'ゲーム', 'マインクラフト']",159709,6888
16,LGTgFgzgYZU,J Storm Official,2023-08-08T11:00:28Z,UCruUAAgi8FPOEhV_6nxD0ew,関ジャニ∞ - BOY '23 [Official Music Video],"['関ジャニ∞', 'かんじゃに', 'せきじゃに', '関西', 'ジャニーズ', 'johnnys', '横山裕', '丸山隆平', '大倉忠義', '安田章大', '村上信五', 'カラオケ', 'ドラマ', '警部補ダイマジン', '生田斗真', 'ダンス', 'バトル', 'キャンジャニ', 'ないわぁ〜フォーリンラブ', '横子', '丸子', '倉子', '安子', '村子', '邦ロック', 'バンド', 'ロッキン', 'fujirock', 'メトロック', 'CDJ', 'カウントダウンジャパン', 'FES', 'フェス', 'WANIMA', 'YONFES', 'アラバキ', 'King&Prince', 'SnowMan', 'なにわ男子', 'SixTONES', 'KinkiKids', 'KisMyFt2', 'TOKIO', '嵐', '少年隊', 'ジャニーズWEST', 'JStorm', 'ジェイ・ストーム']",221465,
17,0UfJLVmrChw,なにわ男子,2023-08-08T10:28:09Z,UCDtVdj7sm41Ysg3XSiSUH3w,なにわ男子 - Make Up Day [Official Music Video] YouTube ver.,"['なにわ', 'なにわ男子', '浪花男子', 'NANIWA', '関西', '大阪', 'music', 'musicvideo', 'mv', 'video', 'ジャニーズ', ""johnny's"", 'jpop', 'japan', 'なにふぁむ', '西畑大吾', '大西流星', '道枝駿佑', '高橋恭平', '長尾謙杜', '藤原丈一郎', '大橋和也', 'sing', 'dance', 'MakeUpDay', 'メイクアップデイ', 'Make Up', 'Missing', '紅さすライフ', 'シンドラ', 'ノッキンオン・ロックドドア', 'ノキドア', 'オシドラ', 'ドラマ', '主題歌']",934014,
18,FcbR8N4IQDc,アニメ『おでかけ子ザメ』チャンネル,2023-08-08T11:00:08Z,UCj5n8eLbvEGyK_bSYu51KCQ,アニメ『おでかけ子ザメ』第2話「橋ってすごい」,,188668,15629
19,Gz-Q0GFgRk8,LE SSERAFIM - Topic,2023-08-08T09:00:13Z,UC-clMkTZa7k-FxmNgMjoCgQ,"UNFORGIVEN (feat. Nile Rodgers, Ado) -Japanese ver.-","['LE SSERAFIM UNFORGIVEN UNFORGIVEN (feat. Nile Rodgers', 'Ado) -Japanese ver.-']",220985,19328
20,nFR3uXaR0wk,緑黄色社会,2023-08-07T13:00:38Z,UC_1GPhYlXI2ka2ji5gnqWFQ,緑黄色社会『サマータイムシンデレラ』Official Video / Ryokuoushoku Shakai – Summer Time Cinderella,"['緑黄色社会', 'リョクシャカ', 'りょくしゃか', '真夏のシンデレラ', 'サマータイムシンデレラ', 'マジックアワー', 'Mela', 'メラ', 'キャラクター', '長屋晴子', '森七菜', '間宮祥太朗', '神尾楓珠', '吉川愛', '萩原利久', '白濱亜嵐', '仁村紗和', '水上恒司', '大西利空']",383138,14621
21,2DHwZI1uPxU,SeikinTV,2023-08-07T10:30:09Z,UCg4nOl7_gtStrLwF0_xoV0A,【お金無限】設置台数423台！新たに登場した東京最大級のクレーンゲームテーマパークで兄弟でクレーンゲームバトルしたら大量ゲット！？【ヒカキン&セイキン】,"['セイキン', 'seikin', 'SeikinTV', 'TV', 'せいきん', 'セイキンTV', 'せいきんTV', 'YouTuber', 'ユーチューバー', 'UUUM', 'ウーム', '兄弟', 'HIKAKIN & SEIKIN', 'ヒカキン & セイキン', 'お金', '金額', '無制限', '無限', 'ufoキャッチャー', 'ゲーセン', 'ゲーム', 'ゲームセンター', '大量', 'ヒカキン', 'ひかきん', 'HikakinTV', 'ヒカキンTV', 'バトル', 'クレーンゲーム', '専門店', '宇宙一', 'マインクラフト', 'マイクラ', 'Minecraft', 'サプライズ', 'ドッキリ', '兄弟対決', 'クレーンゲームバトル']",1148923,14755
22,rCdiqO0IVDs,Stray Kids Japan Official YouTube,2023-08-07T15:00:44Z,UCXhj2pPWvONXmvgHX5wllCA,Stray Kids『Super Bowl -Japanese ver.-』Music Video Teaser,"['Stray Kids', 'SKZ', 'ストレイキッズ', 'スキズ', '스트레이키즈', '스키즈', 'k-pop']",861084,185450
23,LLGUUDDEJL4,京都はんなりチャンネル,2023-08-07T14:47:00Z,UCc-QmIRSECP8Nm-P5ycue8Q,【その嘘、騙されないで】旧車屋さんのレストアに見る、中古車販売店の『危険なワード』の巻,"['旧車', '旧車 鈑金', '旧車 板金', 'ビッグモーター', '中古車 嘘', '旧車 偽物', '旧車 さび', '旧車 錆', '旧車 壊れる', '旧車 フェアレディ', '旧車 錆 修理', '旧車番組', '旧車 人気', '旧車 diy', '旧車 自分で', '旧車 面白い', '旧車 おもしろ', '車 知識', '旧車 知識', '車 豆知識', '旧車 豆知識', '旧車 学べる', '旧車 雑学', '車 雑学', '旧車 おじさん', '旧車 かっこいい', '旧車 Nissan', '旧車 トヨタ', '旧車 カローラ', '旧車 フェアレディz', 'フェアレディz', '日産 旧車', 'トヨタ 旧車', '旧車 塗装', '車 板金', '車 直しかた', '旧車 凹み', '車 凹み 修理 本気', '旧車 修理 自分で', '旧車 事故', '急上昇ランキング', '旧車 塗装 剥がし', '中古車 アルアル', '中古車 目利き', '中古車 NGワード', '中古車とは', '旧車とは', '旧車いじり', '旧車 プロ', '旧車 初心者', '旧車 今から', '旧車 現代', '旧車 安全', '旧車 整備', '整備 自分で', '板金 自分で', '錆取り 自分で']",355427,5789
24,w1YuAJFlVRs,THE BOYZ,2023-08-07T09:00:02Z,UCkJ1rbOrsyPfBuHNfnLPm-Q,THE BOYZ(더보이즈) ‘LIP GLOSS’ MV,"['크래커엔터테인먼트', 'Cre.ker Entertainment', '크래커', 'Creker', 'THE BOYZ', '더보이즈', 'BOY GROUP', 'IDOL', 'IDOL GROUP', '아이돌그룹', 'BOY', '일상캠', '리얼리티', '상연', '제이콥', '영훈', '현재', '주연', '케빈', '주학년', '선우', '에릭', 'SANGYEON', 'JACOB', 'YOUNGHOON', 'HYUNJAE', 'JUYEON', 'KEVIN', 'JUHAKNYEON', 'NEW', 'SUNWOO', 'ERIC', 'EXO', 'BTS', 'TWICE', 'TXT', 'BLACKPINK', 'K-POP', 'D.D.D', 'WHITE', 'REVEAL', 'THE STEALER', 'THRILL RIDE', '스릴라이드', 'IST', 'IST ENTERTAINMENT', '아이에스티', '아이에스티엔터테인먼트', '위스퍼', 'WHISPER', 'ROAR', '로어', 'LIPGLOSS', '립글로즈', 'PHANTASY', '판타지']",11395879,128303
25,BtAEQQg1U7Q,HikakinTV,2023-08-06T11:00:09Z,UCZf__ehlCEBPop-_sldpBUQ,【ドッキリ】20億円の新居に何も知らない家族呼んでみたw【サプライズ】,"['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '商品紹介', 'おもちゃ', 'オモチャ', '玩具', '動画', 'ビートボックス', 'Beatbox', 'ボイパ', 'ヒューマンビートボックス', 'ボイスパーカッション', 'レビュー', '引越し', '20億', '新居', '豪邸', '引っ越し', 'どこ', 'seikin', 'セイキン', 'ママキン', '家族', 'ドッキリ', 'サプライズ', '一軒家', '家', 'マンション']",3930495,89885
